Huidige Nederlandse naam,Oude Nederlandse naam in Flora Batava,Huidige botanische naam,Link naar scans in bladerboek KB
Echt lepelblad,Gemeen Lepelkruid,Cochlearia officinalis,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/59/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Gevleugeld hertshooi,Vierhoekig Herts-hooi,Hypericum tetrapterum,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/69/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Vertakte leeuwentand,Herfst Paardebloem,Leontodon autumnalis,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/70/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Gewoon reukgras,Gemeen Reukgras,Anthoxanthum odoratum,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/11/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999
Zwarte nachtschade,Zwarte Nacht-Schade,Solanum nigrum subsp. nigrum,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/25/zoom/3/lat/-68.52823492039876/lng/-50.625
Kraailook,Wijngaards Look,Allium vineale,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/32/zoom/3/lat/-68.52823492039876/lng/-50.625
Tormentil,Gemeene Tormentil,Potentilla erecta,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/46/zoom/3/lat/-65.6582745198266/lng/-51.15234375
Walstrobremraap,Groote Brem-Raap,Orobanche caryophyllacea,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/55/zoom/3/lat/-69.34933863977649/lng/-49.04296875
Gewone raket,Gemeene Steen-Raket,Sisymbrium officinale,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/61/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Vergeten wikke,Voeder Wikke,Vicia sativa subsp. segetalis,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/67/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Kale jonker,Moeras Distel,Cirsium palustre,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/74/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Moerasandijvie,Moeras Asch-kruid,Tephroseris palustris,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/77/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Mannetjesvaren,Stoppelig Boom-varen,Dryopteris filix-mas,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/88/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Beemdkroon,Akker Schurftkruid,Knautia arvensis,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/16/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999
Grote wederik,Gemeene Wederik,Lysimachia vulgaris,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/22/zoom/3/lat/-69.53451763078357/lng/-46.40625
Ruige veldbies,Harige Bloembies,Luzula pilosa,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/37/zoom/3/lat/-68.52823492039876/lng/-50.625
Perzikkruid,Persik Duizend-knoop,Persicaria maculosa,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/39/zoom/3/lat/-68.52823492039876/lng/-50.625
Stijve ogentroost,Gemeen Oogentroost,Euphrasia stricta,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/51/zoom/3/lat/-69.34933863977649/lng/-49.04296875
Bosveldkers,Ruige Veld Kers,Cardamine flexuosa,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/60/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Gewone duivenkervel,Geneeskrachtige Duiven-kervel,Fumaria officinalis,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/64/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Dicht havikskruid,Muur Haviks-Kruid,Hieracium sect. Vulgata,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/72/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Zulte,Zout-water Aster,Tripolium pannonicum,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/76/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Herfstschroeforchis,Omkronkelend Tweeblad,Spiranthes spiralis,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/80/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Rode waterereprijs,Water Eerenprijs,Veronica catenata,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/9/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999
Rode kornoelje,Roode Kornoelje,Cornus sanguinea,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/17/zoom/3/lat/-69.53451763078357/lng/-46.40625
Stekend loogkruid,Prikkend Loogkruid,Salsola kali,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/27/zoom/3/lat/-68.52823492039876/lng/-50.625
Watermuur,Water Hoornbloem,Stellaria aquatica,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/42/zoom/3/lat/-68.52823492039876/lng/-50.625
Wateraardbei,Roode Waterbezie,Comarum palustre,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/47/zoom/3/lat/-69.34933863977649/lng/-49.04296875
Blauw glidkruid,Gemeen Glidkruid,Scutellaria galericulata,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/50/zoom/3/lat/-69.34933863977649/lng/-49.04296875
Herderstasje,Gemeenste Tas-Kers,Capsella bursa-pastoris,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/58/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Bont kroonkruid,Bont Kroon-kruid,Securigera varia,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/68/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Ruige leeuwentand,Stekelharig Paardebloem,Leontodon hispidus,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/71/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Heggenrank,Roodbes Bryonie,Bryonia dioica,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/83/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Reuzenzwenkgras,Voeder Dravik,Festuca gigantea,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/15/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999
Liggende vetmuur,Liggend Vetmuur,Sagina procumbens,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/19/zoom/3/lat/-69.53451763078357/lng/-46.40625
Blauwe zeedistel,Zee Kruid-Distel,Eryngium maritimum,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/28/zoom/3/lat/-68.52823492039876/lng/-50.625
Viltige basterdwederik,Harige Basterd-Wederik,Epilobium parviflorum,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/38/zoom/3/lat/-68.52823492039876/lng/-50.625
Hemelsleutel,Knollig Huislook,Sedum telephium,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/41/zoom/3/lat/-68.52823492039876/lng/-50.625
Kleine leeuwenbek,Kleine Leeuwenbek,Chaenorhinum minus,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/53/zoom/3/lat/-69.34933863977649/lng/-49.04296875
Herik,Herik Mostaard,Sinapis arvensis,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/62/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Gaspeldoorn,Europische Hei-Brem,Ulex europaeus,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/66/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Heelblaadjes,Rooloops Alant,Pulicaria dysenterica,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/78/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Aarvederkruid,Geaard Veder-Kruid,Myriophyllum spicatum,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/82/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Grote windhalm,Windvangend Struis Gras,Apera spica-venti,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/13/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999
Schedefonteinkruid,Sterk getakt Fontein-Kruid,Potamogeton pectinatus,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/18/zoom/3/lat/-69.53451763078357/lng/-46.40625
Scherpkruid,Liggend Scherp-Kruid,Asperugo procumbens,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/20/zoom/3/lat/-69.53451763078357/lng/-46.40625
Doornappel,Gemeene Doorn-Appel,Datura stramonium,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/24/zoom/3/lat/-68.52823492039876/lng/-50.625
Asperge,Gemeene Aspersie,Asparagus officinalis subsp. officinalis,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/33/zoom/3/lat/-68.52823492039876/lng/-50.625
