Huidige Nederlandse naam,Oude Nederlandse naam in Flora Batava,Huidige botanische naam,Link naar scans in bladerboek KB
Plaatjeszwam spec.,Onbekoorlijke Plaatzwam,Agaricales spec.,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/22/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Gele maskerbloem,Gele Mimulus,Mimulus guttatus,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/23/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Zomeralsem,Eenjarige Alsem,Artemisia annua,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/24/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Geel wasbloempje,Kleine Wasbloem,Cerinthe minor,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/25/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Zinkboerenkers,Zink Boerenkers,Noccaea caerulescens,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/26/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Zandtulpje,Zandminnende Geopyxis,Peziza ammophila,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/27/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Loos blaasjeskruid,Voorbijgezien Waterblaaskruid,Utricularia australis,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/28/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Rechte alsem,Tournefort's Alsem,Artemisia biennis,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/29/zoom/3/lat/-69.13127122963648/lng/-27.333984375
-,Borstelige Weegbree,Plantago aristata,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/30/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Dwergbloem,Dwergbloem,Centunculus minimus,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/31/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Taaire rouwridderzwam,Plaatzwam met spoelvormigen steel,Lyophyllum deliberatum,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/32/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Driedelige ambrosia,,Ambrosia trifida,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/33/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Driedelige ambrosia,,Ambrosia trifida,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/34/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Soldaatje,,Orchis militaris,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/35/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Snavelruppia,,Ruppia maritima,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/36/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Leverkleurige leemhoed,,Agrocybe erebia ,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/37/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Koningskaars x Zwarte toorts, V. thomaeanum),Verbascum nigrum x thapsus,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/38/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Klein liefdegras,,Eragrostis minor,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/39/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Zachte hennepnetel,Hennepnetel,Galeopsis pubescens,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/40/zoom/3/lat/-69.13127122963648/lng/-27.333984375
-,,Salpichroa origanifolia,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/41/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Slijmzwam spec.,,Myxomyxetes spec.,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/42/zoom/3/lat/-69.13127122963648/lng/-27.333984375
-,Klaver,Trifolium hybridum subsp. elegans,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/43/zoom/3/lat/-69.13127122963648/lng/-27.333984375
,,Medicago orthoceras,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/44/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Liggend bergvlas,,Thesium humifusum,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/45/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Liggend bergvlas,,Thesium humifusum,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/46/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Melkzwam spec.,Melkzwam,Lactarius spec.,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/47/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Andijvie,Andijvie,Cichorium endivia,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/48/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Hazenstaart,,Lagurus ovatus,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/49/zoom/3/lat/-69.13127122963648/lng/-27.333984375
,,Brassica elongata subsp. integrifolia,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/50/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Spiesraket,,Sisymbrium loeselii,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/51/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Grote voorjaarsaderbekerzwam,,Discina ancilis,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/52/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Okkernoot,Notenboom,Juglans regia,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/53/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Okkernoot,Notenboom,Juglans regia,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/54/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Zomerbitterling,Bitterplant,Blackstonia perfoliata subsp. perfoliata,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/55/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Theeboompje,Theeboompje,Spiraea salicifolia,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/56/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Poederzwamgast,Sterdragende Nyctalis,Asterophora lycoperdoides,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/57/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Oosterse Sterhyacint,Siberische Zeeui,Scilla siberica,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/58/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Smal vlieszaad,Hyssopbladig vlieszaad,Corispermum pallasii,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/59/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Koraalwortel,Koraalwortel,Corallorhiza trifida,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/60/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Kuifhyacint ,Kuifdragende Druifhyacint,Muscari comosum,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/61/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Kokosmelkzwam,Aangenaam riekende melkzwam,Lactarius glyciosmus,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/62/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Amandelwolfsmelk,Amandel Wolfsmelk,Euphorbia amygdaloides,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/63/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Bastaardbosbes,,Vaccinium x intermedium,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/64/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Bastaardbosbes,,Vaccinium x intermedium,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/65/zoom/3/lat/-69.13127122963648/lng/-27.333984375
,Grootbloemige Whitlavia,Phacelia minor,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/66/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Zwavelmelkzwam,Melkzwam met zwavelgele melk,Lactarius chrysorrheus ,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/67/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Phacelia,Wormkruidbladige Phacelia,Phacelia tanacetifolia,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/68/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Wit bosvogeltje,Zwaard Boschlelie,Cephalanthera longifolia,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/69/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Kleinbloemige amsinckia,,Amsinckia micrantha,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/70/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Draadwatje spec.,,Trichia spec.,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/71/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Schotelkluifzwam,Grootstelige bekerzwam,Helvella macropus,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/72/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Moeraswalstro,Groot Moeras Walstro,Galium palustre,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/73/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Grote biesvaren,,Isoetes lacustris,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/74/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Gevlamde fijnstraal,Wasbladige Fijnstraal,Erigeron bonariensis,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/76/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Satijnzwam spec.,,Entoloma spec.,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/77/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Druppelvlekridderzwam,,Tricholoma pessundatum,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/78/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Arrhenius Braam,Arrhenius Braam,Rubus arrhenii,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/79/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Eekhoorngras,Langbaardig Zwenkgras,Vulpia bromoides,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/80/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Huttentut,Kleinvruchtige Huttentut,AS: Camelina spec. ,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/81/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Kleine x Kleinste egelskop,Verscheidenbladige Egelskop,Sparganium emersum x natans,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/82/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Oranjerode hertenzwam,Leeuwkleurige Pluteus,Pluteus aurantiorugosus,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/83/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Lavas,Lavas,Levisticum officinale,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/84/zoom/3/lat/-69.13127122963648/lng/-27.333984375
-,Triumfhetti's Kamille,Cota triumfetti,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/85/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Stekende wolfsklauw,Wolfsklauw,Spinulum annotinum,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/86/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Duinfranjehoed,Zandminnende Psilocybe,Psathyrella ammophila,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/87/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Plaatjeszwam spec.,,Agaricales spec.,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/88/zoom/3/lat/-69.13127122963648/lng/-27.333984375
,Oostenrijksche Kamille,Anthemis austriaca,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/89/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Straalscherm,Straalscherm,Orlaya grandiflora,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/90/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Kleine biesvaren,,Isoetes echinospora,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/91/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Biesvaren spec.,,Isoetes spec.,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/91/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Biesvaren spec.,,Isoetes spec.,https://galerij.kb.nl/kb.html#/nl/florabatava22/page/92/zoom/3/lat/-69.13127122963648/lng/-27.333984375
Aangebrande orchis ,Brandkleurige Orchis,Neotinea ustulata,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/8/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Rappige Dravik,Rappige Dravik,Bromus squarrosus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/9/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Franjekelk,Grootbloemige Tellima,Tellima grandiflora,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/10/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Zeegroen walstro,Blauwgroen Ruwkruid,Galium glaucum,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/12/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Houtknotszwam,Veelvormige Xylaria,Xylaria polymorpha,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/13/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Sierlijke woudbraam,Bellardi's Braam,Rubus nigricans,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/14/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Aapjesorchis,Apen-Orchis,Orchis simia,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/15/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Eenbloemig wintergroen,Eenbloemig Wintergroen,Moneses uniflora,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/16/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Valse voszegge x IJle zegge,,Carex otrubae x remota,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/17/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Botercollybia,Groepjes vormende Collybia,Rhodocollybia butyracea var. asema,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/18/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Maretak,Vogellijm,Viscum album,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/19/zoom/3/lat/-67.16995497083366/lng/-27.509765625
-,Klein Kanariegras,Phalaris minor,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/20/zoom/3/lat/-67.16995497083366/lng/-27.509765625
(Groenwier),,Aegagropila linnaei,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/21/zoom/3/lat/-67.16995497083366/lng/-27.509765625
(Groenwier),,Aegagropila linnaei,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/22/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Gordijnzwam spec.,Licht violetkleurige Cortinarius,Cortinarius spec.,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/23/zoom/3/lat/-67.16995497083366/lng/-27.509765625
-,,Amaranthus viridis,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/24/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Witte amarant,Witte Amarant,Amaranthus albus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/25/zoom/3/lat/-67.16995497083366/lng/-27.509765625
-,Smalbloemige zwenkgras,Festuca angustata,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/26/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Welriekende ganzenvoet,Wormdrijvende Ganzevoet,Dysphania ambrosioides,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/27/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Kleine ruit,Kleine Ruit,Thalictrum minus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/28/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Geplooide stokbraam (Gewone braam),Geplooidbladige Braam,Rubus plicatus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/29/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Rode grondbraam,Sprengel's Braam,Rubus sprengelii,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/30/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Vroege roggebraam,Bijna opgerichte Braam,Rubus nessensis,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/31/zoom/3/lat/-67.16995497083366/lng/-27.509765625
cf. Fraaie kambraam ,Bekleede Braam,Rubus cf. vestitus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/32/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Slanghumusbraam,Boschminnende Braam,Rubus saltuum,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/34/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Zoete haarbraam,Ruwstengelige Braam,Rubus gratus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/35/zoom/3/lat/-67.16995497083366/lng/-27.509765625
cf. Roze purperbraam,Bosch Braam,Rubus cf. schipperi,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/36/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Borstelstreepzaad,Borstelig Streepzaad,Crepis setosa,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/37/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Gipskruid,Muur Gaffelsteng,Gypsophila muralis,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/38/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Kapjesmorielje,Morieltje met van spleten voorzienen steel,Mitrophora semilibera,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/39/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Langbladig longkruid,Langbladig Longenkruid,Pulmonaria longifolia,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/40/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Berijpte wilg,Zwarte Wilg,Salix daphnoides,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/41/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Kaspische zandwilg,Kaspische Wilg,Salix acutifolia,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/43/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Akkerklaver,Akker klaver,Trifolium aureum,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/44/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Slijmige spijkerzwam,Grijsviltige Paxillus,Gomphidius glutinosus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/45/zoom/3/lat/-67.16995497083366/lng/-27.509765625
[nog geen NL naam],Worteldragende Taphrina,Taphrina rhizophora,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/46/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Klein spiegelklokje,Onechte kantvrucht,Legousia hybrida,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/47/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Zweedse kornoelje,Zweedsche Kornoelje,Cornus suecica,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/48/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Narcisamaniet,,Amanita gemmata,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/49/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Hoorn-van-overvloed,,Craterellus cornucopioides,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/50/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Peppelvlag,,Taphrina johansonii,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/51/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Zandweegbree,Cynops Weegbree,Plantago arenaria ,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/52/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Driekantige x Ruwe bies,Duval's Bies,Schoenoplectus tabernaemontani x triqueter,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/53/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Bruinschubbige gordijnzwam,Beschubde Cortinarius,Cortinarius pholideus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/54/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Witte bundelridderzwam,Aaneengegroeide Clitocybe,Clitocybe connata,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/55/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Akkerdistel,Akkerdistel met niet stekende bladeren,Cirsium arvense (afwijkende vorm),https://galerij.kb.nl/kb.html#/nl/florabatava23/page/56/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Wilgzuring,Wilgenbladige Zuring,Rumex triangulivalvis,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/57/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Sikkelklaver,Smalbladige Sikkelrupsklaver,Medicago falcata,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/58/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Grijze vorkplaat,Tweekleurige Clitocybe,Cantharellula umbonata,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/59/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Holsteelboleet,Holvoetige Boletus,Suillus cavipes,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/60/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Bittere wilg x Kruipwilg,,Salix purpurea x repens,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/61/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Bittere wilg x Kruipwilg,,Salix purpurea x repens,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/62/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Rosse vossenstaart,Rosse Vossestaart,Alopecurus aequalis,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/63/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Elzenweerschijnzwam,Straalvormende Polyporus,Mensularia radiata,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/64/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Paarse schijnridderzwam,Vermomde Tricholoma,Lepista nuda,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/65/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Gele wikke,Gele Wikke,Vicia lutea,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/66/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Bonte wikke,Bonte Wikke,Vicia villosa,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/67/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Ruige lathyrus,Behaarde Lathyrus,Lathyrus hirsutus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/68/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Trechtercantharel,Trompetvormige Cantharel,Cantharellus tubaeformis,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/69/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Geschubde stekelzwam,Beschubde Stekelzwam,Sarcodon squamosus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/70/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Zeegroene ganzenvoet,Zeegroene Ganzevoet,Oxybasis glauca,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/71/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Pluimkambraam,Naakttrossige Boschbraam,Rubus umbrosus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/72/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Knieviltbraam,Geknikte Braam,Rubus geniculatus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/74/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Roodsteelfluweelboleet s.l.,Goudvleezige Boleet,Xerocomellus chrysenteron s.l. ,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/75/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Blauwgegordelde gordijnzwam,Bezoedelde Myxacium,Cortinarius collinitus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/76/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Baardgras,Baardgras,Polypogon monspeliensis,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/77/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Bolle haarbraam ,Grootbladige Braam,Rubus macrophyllus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/78/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Smalle viltbraam,,Rubus goniophorus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/80/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Braam (kruising),,Rubus x umbelliformis,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/81/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Blauwgestreepte stekelzwam,Ineengedrongen Stekelzwam,Hydnellum caeruleum,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/82/zoom/3/lat/-67.16995497083366/lng/-27.509765625
-,Rutheensche Honigklaver,Melilotus wolgicus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/83/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Gedraaide koepelbraam,Aanverwante Braam,Rubus affinis,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/84/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Zoete haarbraam,Bekoorlijke Braam,Rubus gratus,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/85/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Bekerzwam spec.,Kastanje bruine Bekerzwam,Peziza spec.,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/86/zoom/3/lat/-67.16995497083366/lng/-27.509765625
Vezelkop spec.,Behaarde Inocybe,Inocybe spec.,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/87/zoom/3/lat/-67.16995497083366/lng/-27.509765625
,Silene van Creta,Silene spec.,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/7/zoom/3/lat/-65.6220226151064/lng/-26.103515625
-,Smalaarig kanariegras,Phalaris angusta,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/8/zoom/3/lat/-65.6220226151064/lng/-26.103515625
Geknikte vossenstaart,Geknikte vossestaart met afzonderlijke kluwens,Alopecurus geniculatus (afwijkende vorm),https://galerij.kb.nl/kb.html#/nl/florabatava24/page/9/zoom/3/lat/-65.6220226151064/lng/-26.103515625
-,,Phalaris angusta (afwijkende vorm),https://galerij.kb.nl/kb.html#/nl/florabatava24/page/10/zoom/3/lat/-65.6220226151064/lng/-26.103515625
-,Erucavormige Beckmannia,Moorochloa eruciformis,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/11/zoom/3/lat/-65.6220226151064/lng/-26.103515625
Wijnrode vezelkop,Meelkleurige Inocybe,Inocybe adequata,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/12/zoom/3/lat/-65.6220226151064/lng/-26.103515625
Vuurkambraam,Dichtstekelige Braam,Rubus rubrumcadaver,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/13/zoom/3/lat/-65.6220226151064/lng/-26.103515625
Noorse ganzerik,Noorweegsche Ganzerik,Potentilla norvegica,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/14/zoom/3/lat/-65.6220226151064/lng/-26.103515625
-,Malthezer Centaurie,Centaurea melitensis,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/15/zoom/3/lat/-65.6220226151064/lng/-26.103515625
Rode zwavelkop,Steenroode Hypholoma,Hypholoma lateritium,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/16/zoom/3/lat/-65.6220226151064/lng/-26.103515625
Zwavelkop spec.,Steenroode Hypholoma met afloopende plaatjes,Hypholoma spec.,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/17/zoom/3/lat/-65.6220226151064/lng/-26.103515625
Klimopbremraap,Klimop-Bremraap,Orobanche hederae,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/18/zoom/3/lat/-65.6220226151064/lng/-26.103515625
