Volume;File name;File type;Species name RAW;Species name CURRENT;Genus;Epithet;Group;Family;Dutch common name;Link.KB;;;;;;;;;;;;;
1;KW_T_423_1_0100R.tif.jpg;illustration;Bromus sterilis;Anisantha sterilis;Anisantha;sterilis;Flowering plants;Cyperaceae;;https://galerij.kb.nl/kb.html#/nl/florabatava13/page/17/zoom/3/lat/-66.5482634621744/lng/-29.091796875;;;;;;;;;;;;;
1;KW_T_423_1_0102R.tif.jpg;illustration;Plantago lanceolata;Plantago lanceolata;Plantago;lanceolata;Flowering plants;Rosaceae;cf. Fraaie schuilbraam;https://galerij.kb.nl/kb.html#/nl/florabatava26/page/55/zoom/3/lat/-66.86108230224609/lng/-34.98046875;;;;;;;;;;;;;
1;KW_T_423_1_0104R.tif.jpg;illustration;Cerastium arvense;Cerastium arvense;Cerastium;arvense;Flowering plants;Cyperaceae;Valse voszegge x IJle zegge;https://galerij.kb.nl/kb.html#/nl/florabatava24/page/69/zoom/3/lat/-65.6220226151064/lng/-26.103515625;;;;;;;;;;;;;
1;KW_T_423_1_0106R.tif.jpg;illustration;Euphorbia palustris;Euphorbia palustris;Euphorbia;palustris;Flowering plants;Cyperaceae;Valse voszegge x IJle zegge;https://galerij.kb.nl/kb.html#/nl/florabatava25/page/76/zoom/3/lat/-62.062733258846514/lng/-25.400390625;;;;;;;;;;;;;
1;KW_T_423_1_0108R.tif.jpg;illustration;Lepidium ruderale;Lepidium ruderale;Lepidium;ruderale;Flowering plants;Salicaceae;Bittere wilg x Katwilg;https://galerij.kb.nl/kb.html#/nl/florabatava17/page/64/zoom/3/lat/-68.56038368664157/lng/-27.333984375;;;;;;;;;;;;;
1;KW_T_423_1_0110R.tif.jpg;illustration;Geum urbanum;Geum urbanum;Geum;urbanum;Flowering plants;Asteraceae;Paardenbloem;https://galerij.kb.nl/kb.html#/nl/florabatava03/page/71/zoom/3/lat/-69.162557908105/lng/-39.19921875;;;;;;;;;;;;;
1;KW_T_423_1_0112R.tif.jpg;illustration;Sisymbrium sophia;Descurainia sophia;Descurainia;sophia;Fungi;Boletaceae;Gewone berkenboleet s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava10/page/30/zoom/3/lat/-64.43489204304058/lng/-17.666015625;;;;;;;;;;;;;
1;KW_T_423_1_0114R.tif.jpg;illustration;Geranium robertianum;Geranium robertianum;Geranium;robertianum;Fungi;Physalacrisceae;Gewoon fluweelpootje s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava10/page/89/zoom/2/lat/0.17578097424708533/lng/-0.17578125;;;;;;;;;;;;;
1;KW_T_423_1_0116R.tif.jpg;illustration;Ervum hirsutum;Vicia hirsuta;Vicia;hirsuta;Fungi;Clavariaceae;Gele knotszwam s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava11/page/22/zoom/3/lat/-67.50856836293859/lng/-37.001953125;;;;;;;;;;;;;
1;KW_T_423_1_0118R.tif.jpg;illustration;Chrysanthemum Leucanthemum;Leucanthemum vulgare;Leucanthemum;vulgare;Fungi;Xylariaceae;Speldenprikzwam s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava11/page/23/zoom/3/lat/-67.50856836293859/lng/-37.001953125;;;;;;;;;;;;;
