plant_id,volume,species_raw,species_current,genus,epithet,group,family,dutch_name,kb_link,multi_species,all_species
KW_T_423_25_0015L,25,Clavaria krombholzii (Clavaria grossa en Clavaria rugosa),Clavulina coralloides s.l.,Clavulina,coralloides s.l.,Fungi,Incrustoporiaceae,Witwollige dennenzwam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/51/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Clavulina coralloides s.l.
KW_T_423_25_0018L,25,Nolanea icterina,Entoloma pleopodium,Entoloma,pleopodium,Flowering plants,Rosaceae,Dauwbraam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/52/zoom/3/lat/-62.79493487887006/lng/-23.818359375,False,Entoloma pleopodium
KW_T_423_25_0020L,25,Rumex domesticus,Rumex longifolius,Rumex,longifolius,Flowering plants,Poaceae,,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/53/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Rumex longifolius
KW_T_423_25_0022L,25,Artemisia campestris var. maritima (A. crithmifolia),Artemisia campestris subsp. maritima,Artemisia,campestris subsp. maritima,Flowering plants,Fabaceae,,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/54/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Artemisia campestris subsp. maritima
KW_T_423_25_0024L,25,Rubus serrulatus,Rubus spec?,Rubus,spec?,Fungi,Meruliaceae,Spekzwoerdzwam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/55/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Rubus spec?
KW_T_423_25_0026L,25,Cortinarius bolarus,Cortinarius bolaris ,Cortinarius,bolaris,Fungi,Bankeraceae,Stekelzwam spec.,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/56/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Cortinarius bolaris 
KW_T_423_25_0028L,25,Bovista plumbea / Bovista nigrescens,Bovista plumbea / Bovista nigrescens,Bovista,plumbea / nigrescens,Flowering plants,Rosaceae / Apiaceae,Roze purperbraam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/57/zoom/3/lat/-65.6220226151064/lng/-26.103515625,True,Bovista plumbea / Bovista nigrescens
KW_T_423_25_0031L,25,Rubus gothicus,Rubus calvus,Rubus,calvus,Fungi,Russulaceae,Scherpe kamrussula,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/59/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Rubus calvus
KW_T_423_25_0033L,25,Schkuhria pinnata,Schkuhria pinnata,Schkuhria,pinnata,Fungi,Cerrenaceae,Doolhofelfenbankje,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/60/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Schkuhria pinnata
KW_T_423_25_0037L,25,Rumex pulcher,Rumex pulcher,Rumex,pulcher,Fungi,Meruliaceae,Toefige labyrintzwam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/61/zoom/3/lat/-62.79493487887006/lng/-23.818359375,False,Rumex pulcher
KW_T_423_25_0039L,25,Hygrophorus lucorum / Hygrophorus aureus,Hygrophorus lucorum / Hygrophorus spec.,Hygrophorus,lucorum / spec.,Flowering plants,Convolvulaceae / Strophariaceae,Oeverwarkruid / Dennenvlamhoed,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/64/zoom/3/lat/-65.6220226151064/lng/-26.103515625,True,Hygrophorus lucorum / Hygrophorus spec.
KW_T_423_25_0042L,25,Pleurotus eryngii,Pleurotus eryngii,Pleurotus,eryngii,Fungi,Ceratiomyxaceae,Gewoon ijsvingertje,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/67/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Pleurotus eryngii
KW_T_423_25_0044L,25,Chaerophyllum bulbosum,Chaerophyllum bulbosum,Chaerophyllum,bulbosum,Flowering plants,Fabaceae,,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/71/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Chaerophyllum bulbosum
KW_T_423_25_0046L,25,Chenopodium quinoa,Chenopodium quinoa,Chenopodium,quinoa,Flowering plants,Fabaceae,,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/72/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Chenopodium quinoa
KW_T_423_25_0049L,25,Telephora clavularis / Craterellus sinuosus,Thelephora anthocephala / Pseudocraterellus undulatus,Thelephora / Pseudocraterellus,anthocephala / undulatus,Fungi,Psathyrellaceae / Poaceae,Hazenpootje / Klein trilgras,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/73/zoom/3/lat/-65.6220226151064/lng/-26.103515625,True,Thelephora anthocephala / Pseudocraterellus undulatus
