plant_id,dinov2
KW_T_423_19_0057L,4
KW_T_423_19_0062L,5
KW_T_423_19_0064L,5
KW_T_423_19_0066L,4
KW_T_423_19_0068L,4
KW_T_423_19_0070L,5
KW_T_423_19_0072L,5
KW_T_423_19_0074L,0
KW_T_423_19_0076L,4
KW_T_423_19_0078L,4
KW_T_423_19_0080L,12
KW_T_423_19_0082L,5
KW_T_423_19_0084L,5
KW_T_423_19_0086L,4
KW_T_423_19_0088L,4
KW_T_423_19_0090L,15
KW_T_423_19_0097L,4
KW_T_423_19_0099L,18
KW_T_423_19_0101L,5
KW_T_423_19_0103L,0
KW_T_423_19_0105L,4
KW_T_423_19_0107L,4
KW_T_423_19_0111L,5
KW_T_423_19_0113L,0
KW_T_423_19_0115L,4
KW_T_423_19_0117L,4
KW_T_423_19_0119L,22
KW_T_423_19_0121L,22
KW_T_423_19_0123L,5
KW_T_423_19_0125L,4
KW_T_423_19_0127L,4
KW_T_423_19_0129L,22
KW_T_423_19_0131L,5
KW_T_423_19_0133L,5
KW_T_423_19_0135L,4
KW_T_423_19_0137L,4
KW_T_423_19_0139L,12
KW_T_423_19_0140L,8
KW_T_423_19_0142L,5
KW_T_423_19_0144L,4
KW_T_423_19_0146L,4
KW_T_423_19_0148L,2
KW_T_423_19_0154L,4
KW_T_423_19_0156L,4
KW_T_423_19_0158L,22
KW_T_423_19_0160L,21
KW_T_423_19_0162L,1
KW_T_423_19_0164L,4
KW_T_423_19_0166L,4
KW_T_423_19_0168L,22
KW_T_423_19_0170L,12
KW_T_423_19_0172L,15
KW_T_423_19_0174L,4
KW_T_423_19_0176L,4
KW_T_423_1_0020R,20
KW_T_423_1_0024R,20
KW_T_423_1_0026R,22
KW_T_423_1_0028R,7
KW_T_423_1_0030R,6
KW_T_423_1_0036R,9
KW_T_423_1_0038R,21
KW_T_423_1_0042R,21
KW_T_423_1_0046R,5
KW_T_423_1_0050R,19
KW_T_423_1_0052R,21
KW_T_423_1_0056R,14
KW_T_423_1_0058R,6
KW_T_423_1_0060R,18
KW_T_423_1_0062R,12
KW_T_423_1_0064R,22
KW_T_423_1_0066R,12
KW_T_423_1_0068R,10
KW_T_423_1_0070R,10
KW_T_423_1_0074R,12
KW_T_423_1_0076R,14
KW_T_423_1_0078R,18
KW_T_423_1_0082R,5
KW_T_423_1_0084R,21
KW_T_423_1_0086R,22
KW_T_423_1_0088R,11
KW_T_423_1_0090R,6
KW_T_423_1_0094R,10
KW_T_423_1_0096R,21
KW_T_423_1_0098R,15
KW_T_423_1_0100R,5
KW_T_423_1_0102R,6
KW_T_423_1_0104R,21
KW_T_423_1_0110R,10
KW_T_423_1_0112R,11
KW_T_423_1_0114R,10
KW_T_423_1_0116R,8
KW_T_423_1_0120R,5
KW_T_423_1_0122R,5
KW_T_423_1_0128R,22
KW_T_423_1_0130R,7
KW_T_423_1_0132R,18
KW_T_423_1_0134R,9
KW_T_423_1_0136R,15
KW_T_423_1_0138R,16
KW_T_423_1_0140R,5
KW_T_423_1_0142R,7
KW_T_423_1_0148R,21
KW_T_423_1_0150R,10
KW_T_423_1_0152R,20
KW_T_423_1_0154R,22
KW_T_423_1_0156R,15
KW_T_423_1_0158R,22
KW_T_423_1_0160R,13
KW_T_423_1_0162R,7
KW_T_423_1_0166R,5
KW_T_423_1_0168R,1
KW_T_423_1_0170R,7
KW_T_423_1_0176R,6
KW_T_423_1_0178R,1
KW_T_423_20_0009L,19
KW_T_423_20_0013L,5
KW_T_423_20_0015L,4
KW_T_423_20_0017L,4
KW_T_423_20_0021L,22
KW_T_423_20_0023L,5
KW_T_423_20_0025L,4
KW_T_423_20_0027L,4
KW_T_423_20_0029L,6
KW_T_423_20_0031L,5
KW_T_423_20_0033L,5
KW_T_423_20_0035L,4
KW_T_423_20_0037L,4
KW_T_423_20_0039L,20
KW_T_423_20_0041L,22
KW_T_423_20_0043L,5
KW_T_423_20_0045L,4
KW_T_423_20_0047L,4
KW_T_423_20_0051L,15
KW_T_423_20_0053L,5
KW_T_423_20_0055L,4
KW_T_423_20_0057L,4
KW_T_423_20_0059L,8
KW_T_423_20_0061L,15
KW_T_423_20_0063L,5
KW_T_423_20_0065L,4
KW_T_423_20_0065R,4
KW_T_423_20_0069L,4
KW_T_423_20_0071L,19
KW_T_423_20_0073L,21
KW_T_423_20_0075L,3
KW_T_423_20_0077L,4
KW_T_423_20_0079L,4
KW_T_423_20_0081L,15
KW_T_423_20_0085L,5
KW_T_423_20_0087L,4
KW_T_423_20_0089L,4
KW_T_423_20_0091L,8
KW_T_423_20_0093L,10
KW_T_423_20_0095L,13
KW_T_423_20_0097L,4
KW_T_423_20_0099L,4
KW_T_423_20_0106L,20
KW_T_423_20_0108L,4
KW_T_423_20_0110L,4
KW_T_423_20_0114L,9
KW_T_423_20_0116L,15
KW_T_423_20_0118L,4
KW_T_423_20_0120L,4
KW_T_423_20_0122L,15
KW_T_423_20_0124L,9
KW_T_423_20_0126L,13
KW_T_423_20_0128L,4
KW_T_423_20_0130L,4
KW_T_423_20_0132L,22
KW_T_423_20_0134L,15
KW_T_423_20_0138L,4
KW_T_423_20_0140L,4
KW_T_423_20_0142L,19
KW_T_423_20_0144L,5
KW_T_423_20_0146L,5
KW_T_423_20_0148L,4
KW_T_423_20_0151L,4
KW_T_423_20_0153L,15
KW_T_423_20_0155L,11
KW_T_423_20_0157L,5
KW_T_423_20_0159L,4
KW_T_423_20_0161L,4
KW_T_423_21_0009L,2
KW_T_423_21_0011L,22
KW_T_423_21_0013L,18
KW_T_423_21_0015L,4
KW_T_423_21_0017L,4
KW_T_423_21_0019L,5
KW_T_423_21_0021L,7
KW_T_423_21_0023L,22
KW_T_423_21_0025L,4
KW_T_423_21_0027L,4
KW_T_423_21_0031L,8
KW_T_423_21_0033L,10
KW_T_423_21_0035L,4
KW_T_423_21_0037L,4
KW_T_423_21_0039L,9
KW_T_423_21_0043L,13
KW_T_423_21_0045L,5
KW_T_423_21_0047L,4
KW_T_423_21_0049L,2
KW_T_423_21_0051L,2
KW_T_423_21_0053L,12
KW_T_423_21_0055L,7
KW_T_423_21_0057L,5
KW_T_423_21_0059L,11
KW_T_423_21_0061L,22
KW_T_423_21_0063L,21
KW_T_423_21_0065L,9
KW_T_423_21_0067L,4
KW_T_423_21_0069L,8
KW_T_423_21_0071L,7
KW_T_423_21_0073L,19
KW_T_423_21_0075L,11
KW_T_423_21_0077L,4
KW_T_423_21_0079L,12
KW_T_423_21_0081L,12
KW_T_423_21_0083L,14
KW_T_423_21_0085L,15
KW_T_423_21_0087L,4
KW_T_423_21_0089L,13
KW_T_423_21_0091L,19
KW_T_423_21_0093L,5
KW_T_423_21_0095L,4
KW_T_423_21_0097L,4
KW_T_423_21_0099L,9
KW_T_423_21_0101L,10
KW_T_423_21_0104L,5
KW_T_423_21_0106L,4
KW_T_423_21_0108L,15
KW_T_423_21_0110L,13
KW_T_423_21_0112L,6
KW_T_423_21_0114L,5
KW_T_423_21_0116L,4
KW_T_423_21_0118L,12
KW_T_423_21_0120L,11
KW_T_423_21_0124L,4
KW_T_423_21_0126L,4
KW_T_423_21_0128L,1
KW_T_423_21_0129L,1
KW_T_423_21_0133L,5
KW_T_423_21_0135L,4
KW_T_423_21_0137L,11
KW_T_423_21_0139L,9
KW_T_423_21_0141L,19
KW_T_423_21_0145L,4
KW_T_423_21_0147L,6
KW_T_423_21_0149L,13
KW_T_423_21_0153L,5
KW_T_423_21_0155L,4
KW_T_423_21_0157L,22
KW_T_423_21_0159L,9
KW_T_423_21_0163L,5
KW_T_423_21_0165L,4
KW_T_423_22_0011L,5
KW_T_423_22_0013L,22
KW_T_423_22_0015L,10
KW_T_423_22_0017L,5
KW_T_423_22_0019L,10
KW_T_423_22_0021L,5
KW_T_423_22_0024L,22
KW_T_423_22_0026L,4
KW_T_423_22_0028L,9
KW_T_423_22_0030L,14
KW_T_423_22_0032L,21
KW_T_423_22_0034L,5
KW_T_423_22_0036L,4
KW_T_423_22_0038L,19
KW_T_423_22_0042L,22
KW_T_423_22_0044L,22
KW_T_423_22_0046L,4
KW_T_423_22_0048L,21
KW_T_423_22_0050L,15
KW_T_423_22_0052L,5
KW_T_423_22_0054L,21
KW_T_423_22_0056L,4
KW_T_423_22_0058L,15
KW_T_423_22_0061L,6
KW_T_423_22_0063L,5
KW_T_423_22_0065L,4
KW_T_423_22_0067L,13
KW_T_423_22_0069L,5
KW_T_423_22_0071L,18
KW_T_423_22_0075L,4
KW_T_423_22_0077L,9
KW_T_423_22_0079L,9
KW_T_423_22_0081L,21
KW_T_423_22_0083L,3
KW_T_423_22_0085L,4
KW_T_423_22_0087L,15
KW_T_423_22_0089L,5
KW_T_423_22_0091L,22
KW_T_423_22_0093L,15
KW_T_423_22_0095L,4
KW_T_423_22_0097L,8
KW_T_423_22_0098L,8
KW_T_423_22_0100L,22
KW_T_423_22_0102L,19
KW_T_423_22_0104L,4
KW_T_423_22_0106L,5
KW_T_423_22_0108L,21
KW_T_423_22_0110L,3
KW_T_423_22_0112L,6
KW_T_423_22_0114L,4
KW_T_423_22_0122L,20
KW_T_423_22_0124L,4
KW_T_423_22_0130L,22
KW_T_423_22_0132L,4
