genus,n_images,mean_pairwise_distance,std_pairwise_distance,color_space_volume,centroid_L,centroid_a,centroid_b
Ascocoryne,1,,,,54.898337095341205,-4.800681569280681,7.344425515999281
Ascomycetes,2,4.674888477304206,0.0,,70.65845448479834,-1.5214213873748839,13.477281999670646
Ascophyllum,1,,,,56.16286623222405,0.29597485177445626,13.600101283048637
Asparagus,2,12.63779040437285,0.0,,59.82585690941705,-2.7719211395042738,13.132949720854302
Asperugo,1,,,,47.30247798847283,-1.9117998101037093,15.626529762086514
Asphodelus,1,,,,61.003112818987766,1.7854934181524822,16.745945193257008
Asplenium,4,8.206521542406373,3.380959062892311,1.8323632108581913,56.74303488416882,-0.9682735284328221,15.574726237214549
Asterophora,2,22.384717514019098,0.0,,66.54437274975143,-7.724945839657132,26.9295306889855
Astraeus,1,,,,50.53467984146829,-2.4753957839208227,7.007263300880589
Astragalus,1,,,,59.685801394198364,-0.3376854142157888,13.052226562428288
Athyrium,1,,,,63.7746492786685,-0.3250388303588845,16.4402501568583
Atrichum,1,,,,52.3885373713672,0.9522016006284011,15.07036567799957
Atriplex,7,14.330643473905438,7.1077749565844535,71.83320811925219,64.04334810508337,-0.5012127179543818,12.311924273474391
Atropa,1,,,,56.56000158125792,1.5690205360542706,17.528185213107676
Aulacomnium,2,10.206427342677582,0.0,,52.02010479405729,-1.7476501445953119,10.781001807484525
Auricularia,1,,,,51.16993011830872,1.1042116837083924,9.18638748453041
Auriscalpium,1,,,,49.4138161661489,-0.6962519038922486,8.119749105552804
Avena,5,13.91980938017392,5.54344935142778,190.1915496172084,61.75599712998495,-1.714197447293159,14.500641333676505
Avenula,1,,,,51.40630087513095,-1.3909259246315915,4.756414691127903
Axyris,1,,,,64.92498040087753,1.0822685985334644,21.350592230473353
Azolla,1,,,,57.75011008276665,-0.8221143294847854,17.091761536313495
Badhamia,1,,,,62.945411723543124,5.617529002386033,31.865706204025216
Baeomyces,1,,,,52.45771653977523,0.6207933883818274,10.392605961593311
Ballota,1,,,,57.342736149696165,-1.9065380278711377,12.201423338733372
Bankera,2,10.268008036582707,0.0,,64.96254505423082,0.5808501569963231,16.900243600573557
Barbarea,3,14.267873454187237,7.562357751943299,,53.0166130572523,-0.3655145040127874,10.925421937278623
Barbula,1,,,,60.81642883728391,-0.34772990734056297,19.33024668673675
Bartramia,1,,,,54.1430196751564,-0.6423305009408669,16.48730538540112
Bassia,1,,,,61.031224534391725,-1.7601390804014856,16.814629086216833
Bellis,1,,,,55.3024812181403,-3.9909770014650183,16.14746381807172
Berberis,1,,,,60.45649659898629,-3.8449278611237627,18.445289457213963
Berteroa,1,,,,57.35238919079033,0.8002743723030825,15.313854436914646
Berula,1,,,,64.57179620389141,-5.367653274146755,21.205671026478242
Beta,2,2.5887214402704384,0.0,,65.27920478022472,-1.1452130064341772,18.080109444193603
Betula,1,,,,56.88066242875168,-1.4693492302661169,16.800119263831824
Bidens,4,11.975556053844791,4.460555836822976,91.50863878555181,61.41005357673528,-2.127146561254563,14.820748896792937
Bifora,1,,,,64.03684257021581,-11.550001725699477,21.671901803936564
Bjerkandera,1,,,,60.04746362785133,-9.662249461261567,25.026834844318653
Blackstonia,2,14.781275480036305,0.0,,69.89331311707154,-6.422825310378867,20.013286718773383
Blysmus,1,,,,59.952136059314114,-1.6304234546521674,16.946432007059833
Bolboschoenus,1,,,,57.2313277692951,-8.929224811078004,18.925206524842736
Boletaceae,1,,,,50.81462886113665,-2.1571703787423484,14.7313479784914
Boletopsis,1,,,,56.827653024664656,2.114575655234502,20.109889050070528
Boletus,1,,,,66.8345123512542,-7.9187023009072846,16.51866560829977
Boltonia,1,,,,66.83276665543187,1.4515706082485749,27.496383304274048
Borago,1,,,,55.38944705543408,1.9922002057091623,13.993434383555822
Botrychium,1,,,,62.01842915008617,-0.6283426039150207,16.94047346754827
Bovista,2,13.384484312357287,0.0,,63.76261341013106,-8.293027129012813,22.333786224169362
Brachypodium,2,1.3920025789669268,0.0,,59.18221534245225,-0.5473871399124736,13.800982095485066
Brachythecium,2,6.444614308399962,0.0,,52.1302639543256,-0.6595073299215684,11.655498405792608
Brassica,3,9.352897325432286,3.17283245701524,,66.45558120935304,-2.632829620609123,16.17118017956311
Brefeldia,1,,,,60.6714044773168,0.3965109677555926,14.075576304126152
